episode,total_steps,adversary_team_return,prey_return,adversary_0_return,adversary_1_return,adversary_2_return,agent_0_return,train_touch_count,mean_critic_loss,mean_actor_loss,mean_actor_entropy,epsilon,eval_self_play_adversary_return,eval_self_play_prey_return,eval_adv_vs_random_prey_adversary_return,eval_adv_vs_random_prey_prey_return,eval_random_adv_vs_prey_adversary_return,eval_random_adv_vs_prey_prey_return,eval_self_play_touch_count,eval_adv_vs_random_prey_touch_count,eval_random_adv_vs_prey_touch_count
1,50,0.0,-48.653388223495504,0.0,0.0,0.0,-48.653388223495504,0.0,,,,1.0,,,,,,,,,
2,100,0.0,-24.680383482175042,0.0,0.0,0.0,-24.680383482175042,0.0,,,,1.0,,,,,,,,,
3,150,210.0,-84.76305909343034,70.0,70.0,70.0,-84.76305909343034,21.0,,,,1.0,,,,,,,,,
4,200,0.0,-62.27883963666446,0.0,0.0,0.0,-62.27883963666446,0.0,,,,1.0,,,,,,,,,
5,250,0.0,-79.68195665424182,0.0,0.0,0.0,-79.68195665424182,0.0,,,,1.0,20.0,-215.71973591473952,0.0,-55.740149737816665,20.0,-275.72908780680785,2.0,0.0,2.0
6,300,0.0,-136.95698988487294,0.0,0.0,0.0,-136.95698988487294,0.0,,,,1.0,,,,,,,,,
7,350,0.0,-2.8569420951378053,0.0,0.0,0.0,-2.8569420951378053,0.0,,,,1.0,,,,,,,,,
8,400,90.0,-30.194830705975246,30.0,30.0,30.0,-30.194830705975246,9.0,,,,1.0,,,,,,,,,
9,450,0.0,-72.10116900361972,0.0,0.0,0.0,-72.10116900361972,0.0,,,,1.0,,,,,,,,,
10,500,0.0,-6.08764352277554,0.0,0.0,0.0,-6.08764352277554,0.0,,,,1.0,0.0,-236.22065711951214,20.0,-125.78293505083502,0.0,-327.4480837871681,0.0,2.0,0.0
11,550,0.0,-26.120084629482136,0.0,0.0,0.0,-26.120084629482136,0.0,,,,1.0,,,,,,,,,
12,600,0.0,-37.6588148223127,0.0,0.0,0.0,-37.6588148223127,0.0,,,,1.0,,,,,,,,,
13,650,0.0,-64.28206885187511,0.0,0.0,0.0,-64.28206885187511,0.0,,,,1.0,,,,,,,,,
14,700,0.0,-15.409123885081767,0.0,0.0,0.0,-15.409123885081767,0.0,,,,1.0,,,,,,,,,
15,750,0.0,-7.8014736508688625,0.0,0.0,0.0,-7.8014736508688625,0.0,,,,1.0,20.0,-194.5195641502904,0.0,-22.816939098297507,30.0,-299.4855363782931,2.0,0.0,3.0
16,800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,,,,
17,850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,,,,
18,900,0.0,-0.14072740216754198,0.0,0.0,0.0,-0.14072740216754198,0.0,,,,1.0,,,,,,,,,
19,950,0.0,-41.36471721637344,0.0,0.0,0.0,-41.36471721637344,0.0,,,,1.0,,,,,,,,,
20,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,30.0,-305.855665084922,80.0,-47.22322343678578,10.0,-317.759344843334,3.0,8.0,1.0
