episode,steps,adversary_team_return,prey_return
1,100,0.0,-126.24268353502364
2,100,0.0,-299.72767086334386
3,100,70.0,-272.6772331907776
4,100,60.0,-64.29027211881527
5,100,0.0,-854.4935607704213
6,100,40.0,-40.0
7,100,20.0,-29.264212637314003
8,100,0.0,-24.75112217216978
9,100,40.0,-355.7011978844932
10,100,0.0,-0.42168696415516016
11,100,0.0,-227.3181400365418
12,100,20.0,-138.49609076006152
13,100,40.0,-47.69112904279891
14,100,0.0,-71.54465612620193
15,100,0.0,-112.57756522052028
16,100,0.0,-441.36031207798396
17,100,0.0,-156.3375875616228
18,100,30.0,-30.082905883859894
19,100,20.0,-20.0
20,100,0.0,-325.0173585982296
