update,train_mean_adversary_return,eval_deterministic_mean_adversary_return,eval_stochastic_mean_adversary_return,policy_loss,value_loss,entropy
1,35.0,,,-0.002305777898679177,0.7289587159951528,1.5983732243378956
2,22.0,,,-0.0027472771083315215,0.41800717761119205,1.5992973148822784
3,20.0,,,-0.003385846270248294,0.266191487510999,1.6011792123317719
4,14.0,,,-0.004103571060113609,0.018901241865629952,1.586357315381368
5,7.0,,,-0.0037731273720661798,0.010485905688256025,1.5824752748012543
6,3.0,,,-0.009317748326187333,0.011601076655400297,1.581354707479477
7,2.0,,,-0.0026136673210809627,0.12451496720314026,1.5944501260916393
8,2.0,,,-0.0039495503685126705,0.0036309154626602926,1.5782258411248524
9,9.0,,,-0.0005072125932201743,0.3421418070793152,1.565911551316579
10,9.0,18.0,24.0,-0.00358440144918859,0.006284119910560548,1.5459501345952351
11,7.0,,,-0.004596150480210781,0.013301192821624378,1.5321979423364003
12,7.0,,,-0.0035912132977197566,0.004967942213018735,1.5184269448121388
13,4.0,,,-0.004516615842779477,0.20187730838855109,1.498227874437968
14,4.0,,,-0.004081216951211293,0.017928957007825375,1.5013117293516796
15,4.0,,,-0.006333599643160899,0.012115994778772196,1.4514250755310059
16,4.0,,,-0.003083921930131813,0.006685656146146357,1.4401017129421234
17,0.0,,,-0.003857366507872939,0.003543933834104488,1.3349031805992126
18,0.0,,,-0.004687671161567171,0.0019933733759292713,1.4090578456719716
19,0.0,,,-0.0039321796502918005,0.002197943462912614,1.4451980491479237
20,3.0,8.0,24.0,-0.001413317397236824,0.23696036512653032,1.4141555229822795
21,3.0,,,-0.002231967441427211,0.004029859439469874,1.4529211521148682
22,3.0,,,-0.0022354839214434228,0.0033091059885919094,1.4420093297958374
23,5.0,,,-0.0033300098730251193,0.11231300607323647,1.4461804429690044
24,2.0,,,-0.007246534262473385,0.005179477040655911,1.462900996208191
25,5.0,,,-0.003199132780234019,0.23525798320770264,1.5133091012636821
26,9.0,,,-0.0013091814083357651,0.16373666686316332,1.5165414313475292
27,7.0,,,-0.004759974389647444,0.015781626105308533,1.4213134944438934
28,7.0,,,-0.003551407251507044,0.0099350141438966,1.378868083159129
29,4.0,,,-0.004445722326636314,0.00561963797857364,1.4823345144589741
30,0.0,10.0,4.0,-0.004325671199088295,0.00442389480303973,1.418560783068339
31,7.0,,,-0.0019553782573590675,0.775212158759435,1.3750457763671875
32,13.0,,,-0.00248110294342041,0.24638956412672997,1.464504251877467
33,16.0,,,-0.003477517942277094,0.18212473640839258,1.4201628665129344
34,14.0,,,-0.0020641565012435117,0.038756794296205044,1.4273031850655873
35,9.0,,,-0.0012731949876373012,0.008750059913533429,1.4235920011997223
36,3.0,,,-0.0042211633796493215,0.012203818575168649,1.4162277082602184
37,0.0,,,-0.002914076050122579,0.006218217662535608,1.383198618888855
38,8.0,,,-0.0020336540959154568,0.48654964317878086,1.4546466966470082
39,11.0,,,-0.00670472780863444,0.1077194722990195,1.4837185839811962
40,13.0,4.0,8.0,-0.005543633519361417,0.13166028261184692,1.4336328009764354
41,15.0,,,-0.0016347170070124168,0.06425801571458578,1.515922486782074
42,11.0,,,-0.0013425132104506095,0.4965488016605377,1.4983431696891785
43,11.0,,,-0.0010166509697834651,0.10557343189915021,1.3094043930371602
44,9.0,,,-0.005061210094330211,0.039667346980422735,1.524352639913559
45,9.0,,,-0.003625678364187479,0.049345532432198524,1.5296539564927418
46,5.0,,,-0.004018703165153663,0.011361203777293364,1.522946834564209
47,3.0,,,-0.003375710298617681,0.026595269950727623,1.5285927553971608
48,3.0,,,-0.003813371527940035,0.013125427843381962,1.556049108505249
49,1.0,,,-0.004009809500227372,0.014101767058794698,1.5312861998875935
50,7.0,26.0,14.0,-0.0034426958688224354,0.5921159038941065,1.5150088369846344
