episode,steps,team_return
1,50,-48.97789051813589
2,50,-48.00741304073556
3,50,-46.12335227373874
4,50,-37.98351435100236
5,50,-63.283534569095934
6,50,-64.43945792550866
7,50,-52.11907296605768
8,50,-57.20294476114594
9,50,-107.27135643915037
10,50,-70.19571879356936
11,50,-73.93696642672772
12,50,-66.84504115141962
13,50,-51.131295940817225
14,50,-89.87503427449867
15,50,-75.5176912520271
16,50,-60.45541045316407
17,50,-43.99418892417414
18,50,-58.107102820741495
19,50,-71.44750657191551
20,50,-53.205144427217164
21,50,-53.101118923972386
22,50,-35.68700535195768
23,50,-85.18089069906661
24,50,-92.8999762740956
25,50,-36.80990343206203
26,50,-56.59388271321343
27,50,-58.59059834425567
28,50,-47.958335172615385
29,50,-45.669105311314524
30,50,-70.66584666925719
